1;0;1756.00;12.00;245.00;0.00;1.16
2;0;2616.00;10.42;205.00;0.00;1.76
3;0;2054.00;12.60;248.00;0.00;1.52
4;0;3904.00;11.55;846.00;0.00;0.76
5;0;3983.00;10.25;891.00;0.00;1.04
6;0;3654.00;13.17;1558.00;0.00;0.72
7;0;1601.00;13.65;1289.00;0.00;0.40
8;0;2113.00;22.15;1878.00;0.00;1.52
9;0;2114.00;10.02;1132.00;0.00;0.72
10;0;3210.00;15.40;1906.00;0.00;0.68
11;0;1678.00;11.47;729.00;0.00;0.44
12;0;1565.00;15.55;30.00;0.00;1.32
13;0;2369.00;10.30;64.00;0.00;1.28
14;0;1085.00;14.42;1520.00;0.00;0.48
15;0;2774.00;10.27;1116.00;0.00;1.72
16;0;2125.00;12.32;1045.00;0.00;0.96
17;0;2061.00;13.75;187.00;0.00;1.56
18;0;3112.00;15.20;122.00;0.00;1.52
19;0;3486.00;9.80;667.00;0.00;1.72
20;0;3474.00;9.85;1121.00;0.00;1.88
21;0;2872.00;12.70;462.00;0.00;2.28
22;0;2498.00;11.50;271.00;0.00;1.56
23;0;438.00;10.20;1195.00;0.00;0.40
24;0;2173.00;9.60;721.00;0.00;0.96
25;0;4540.00;12.77;1088.00;0.00;0.84
26;0;2551.00;12.00;713.00;0.00;2.00
27;0;1440.00;11.00;1314.00;0.00;0.24
28;0;2755.00;10.57;888.00;0.00;1.84
29;0;3155.00;10.05;640.00;0.00;1.76
30;0;1531.00;15.22;166.00;0.00;0.60
31;0;3624.00;12.40;1137.00;0.00;1.52
32;0;978.00;21.25;766.00;0.00;0.44
33;0;2179.00;20.20;1872.00;0.00;1.72
34;0;425.00;11.47;1621.00;0.00;0.56
35;0;3503.00;13.15;44.00;0.00;0.80
36;0;1887.00;10.00;1798.00;0.00;0.72
37;0;2345.00;22.90;2006.00;0.00;1.60
38;0;969.00;12.85;960.00;0.00;0.40
39;0;3777.00;11.45;1422.00;0.00;0.84
40;0;2477.00;12.00;532.00;0.00;1.68
41;0;868.00;18.27;840.00;0.00;0.44
42;0;2641.00;13.90;911.00;0.00;1.92
43;0;3093.00;9.50;747.00;0.00;2.12
44;0;4015.00;11.45;951.00;0.00;1.28
45;0;749.00;12.57;1290.00;0.00;0.44
46;0;4349.00;14.70;876.00;0.00;0.92
47;0;1736.00;20.25;1138.00;0.00;0.88
48;0;1411.00;12.82;232.00;0.00;0.32
49;0;1636.00;15.60;578.00;0.00;0.40
50;0;1068.00;15.72;922.00;0.00;0.56
51;0;2506.00;12.90;376.00;0.00;1.40
52;0;2580.00;15.20;1666.00;0.00;0.96
53;0;3796.00;12.12;551.00;0.00;0.84
54;0;4210.00;11.80;905.00;0.00;0.92
55;0;4014.00;12.45;526.00;0.00;0.84
56;0;4166.00;12.30;1943.00;0.00;0.72
57;0;2170.00;11.70;1229.00;0.00;0.64
58;0;1109.00;13.00;1126.00;0.00;0.44
59;0;2149.00;11.12;761.00;0.00;0.92
60;0;2410.00;9.50;574.00;0.00;1.80
61;0;843.00;18.95;749.00;0.00;0.44
62;0;1741.00;11.85;56.00;0.00;1.24
63;0;322.00;10.70;1520.00;0.00;0.60
64;0;1061.00;11.02;2004.00;0.00;1.56
65;0;1164.00;10.17;161.00;0.00;0.48
66;0;1732.00;12.45;620.00;0.00;0.40
67;0;1387.00;12.92;1715.00;0.00;0.68
68;0;3109.00;11.60;1606.00;0.00;1.32
69;0;871.00;12.50;1208.00;0.00;0.72
70;0;2340.00;16.40;993.00;0.00;1.04
71;0;3747.00;12.45;568.00;0.00;1.00
72;0;3537.00;13.42;368.00;0.00;0.84
73;0;1742.00;11.77;1235.00;0.00;0.76
74;0;1154.00;10.85;78.00;0.00;0.88
75;0;3364.00;10.80;1447.00;0.00;1.20
76;0;781.00;11.25;1464.00;0.00;0.44
77;0;2874.00;10.70;1213.00;0.00;1.68
