0;0;0;0;land;false;unknown;0
1;91;236;194;land;true;mountain;1
2;214;153;143;land;false;plains;1
3;234;224;199;land;false;plains;1
4;198;243;180;land;false;plains;1
5;236;209;143;land;false;plains;1
6;89;242;171;land;false;plains;1
7;214;241;112;land;false;hills;1
8;199;193;245;land;false;plains;1
9;217;215;234;land;false;plains;1
10;246;77;244;land;false;plains;1
11;249;181;153;land;false;plains;1
12;128;248;172;land;false;plains;1
13;178;140;233;land;false;plains;1
14;250;62;200;land;false;plains;1
15;245;100;235;land;false;plains;1
16;204;224;85;land;false;mountain;1
17;153;136;239;land;true;plains;1
18;250;237;205;land;false;plains;1
19;172;252;194;land;false;plains;1
20;211;185;181;land;false;plains;1
21;166;155;180;land;true;mountain;1
22;208;205;156;land;false;desert;1
23;201;208;231;land;false;plains;1
24;246;178;95;land;false;plains;1
25;235;100;228;land;false;desert;1
26;208;222;132;land;false;desert;1
27;246;187;204;land;false;urban;1
28;171;198;235;land;false;plains;1
29;219;248;56;land;false;hills;1
30;241;204;135;land;false;plains;1
31;240;215;130;land;false;plains;1
32;206;63;239;land;false;plains;1
33;215;239;134;land;false;plains;1
34;222;247;122;land;false;desert;1
35;194;245;210;land;false;mountain;1
36;138;142;224;land;false;plains;1
37;233;121;180;land;false;jungle;1
38;245;226;201;land;false;plains;1
39;221;238;82;land;true;plains;1
40;90;226;252;land;false;plains;1
41;153;251;192;land;false;plains;1
42;251;219;173;land;false;plains;1
43;165;201;254;land;false;plains;1
44;234;122;218;land;false;plains;1
45;235;193;198;land;false;mountain;1
46;253;159;214;land;false;hills;1
47;186;199;239;land;false;desert;1
48;173;248;96;land;false;plains;1
49;192;133;227;land;false;desert;1
50;230;235;102;land;false;forest;1
51;189;223;123;land;false;plains;1
52;230;200;102;land;false;plains;1
53;204;178;226;land;false;hills;1
54;222;174;109;land;false;desert;1
55;244;186;247;land;false;hills;1
56;104;161;239;land;false;plains;1
57;190;99;227;land;false;desert;1
58;192;195;137;land;false;plains;1
59;217;107;188;land;false;marsh;1
60;216;249;73;land;false;plains;1
61;132;235;169;land;true;plains;1
62;231;132;205;land;false;desert;1
63;147;180;233;land;false;plains;1
